"MWG","NWG","KWG","MDIMC","NDIMC","MDIMA","NDIMB","KWI","VWM","VWN","STRM","STRN","SA","SB","Run"
64,64,16,8,8,8,8,8,1,8,1,1,1,1,160.99
64,64,16,8,8,8,8,8,2,1,0,0,1,1,198.6325
64,64,16,8,8,8,8,8,2,1,0,1,1,1,153.35
64,64,16,8,8,8,8,8,2,1,1,0,1,1,188.1125
64,64,16,8,8,8,8,8,2,1,1,1,1,1,151.7025
64,64,16,8,8,8,8,8,2,2,0,0,1,1,180.2825
64,64,16,8,8,8,8,8,2,2,0,1,1,1,168.21
64,64,16,8,8,8,8,8,2,2,1,0,1,1,189.3975
64,64,16,8,8,8,8,8,2,2,1,1,1,1,164.705
64,64,16,8,8,8,8,8,2,4,0,0,1,1,132.83
64,64,16,8,8,8,8,8,2,4,0,1,1,1,156.675
64,64,16,8,8,8,8,8,2,4,1,0,1,1,141.355
64,64,16,8,8,8,8,8,2,4,1,1,1,1,160.18
64,64,16,8,8,8,8,8,2,8,0,0,1,1,131.55
64,64,16,8,8,8,8,8,2,8,0,1,1,1,131.8475
64,64,16,8,8,8,8,8,2,8,1,0,1,1,117.3425
64,64,16,8,8,8,8,8,2,8,1,1,1,1,117.4575
64,64,16,8,8,8,8,8,4,1,0,0,1,1,164.535
64,64,16,8,8,8,8,8,4,1,0,1,1,1,164.1325
64,64,16,8,8,8,8,8,4,1,1,0,1,1,164.97
64,64,16,8,8,8,8,8,4,1,1,1,1,1,163.6875
64,64,16,8,8,8,8,8,4,2,0,0,1,1,168.0925
64,64,16,8,8,8,8,8,4,2,0,1,1,1,162.5675
64,64,16,8,8,8,8,8,4,2,1,0,1,1,168.0225
64,64,16,8,8,8,8,8,4,2,1,1,1,1,157.4425
64,64,16,8,8,8,8,8,4,4,0,0,1,1,156.95
64,64,16,8,8,8,8,8,4,4,0,1,1,1,154.21
64,64,16,8,8,8,8,8,4,4,1,0,1,1,156.9325
64,64,16,8,8,8,8,8,4,4,1,1,1,1,151.48
64,64,16,8,8,8,8,8,4,8,0,0,1,1,133.1925
64,64,16,8,8,8,8,8,4,8,0,1,1,1,133.1675
64,64,16,8,8,8,8,8,4,8,1,0,1,1,119.9475
64,64,16,8,8,8,8,8,4,8,1,1,1,1,120.2475
64,64,16,8,8,8,8,8,8,1,0,0,1,1,149.89
64,64,16,8,8,8,8,8,8,1,0,1,1,1,156.6625
64,64,16,8,8,8,8,8,8,1,1,0,1,1,149.6475
64,64,16,8,8,8,8,8,8,1,1,1,1,1,156.3275
64,64,16,8,8,8,8,8,8,2,0,0,1,1,169.025
64,64,16,8,8,8,8,8,8,2,0,1,1,1,160.105
64,64,16,8,8,8,8,8,8,2,1,0,1,1,168.9075
64,64,16,8,8,8,8,8,8,2,1,1,1,1,159.44
64,64,16,8,8,8,8,8,8,4,0,0,1,1,168.3
64,64,16,8,8,8,8,8,8,4,0,1,1,1,163.98
64,64,16,8,8,8,8,8,8,4,1,0,1,1,168.105
64,64,16,8,8,8,8,8,8,4,1,1,1,1,163.935
64,64,16,8,8,8,8,8,8,8,0,0,1,1,166.625
64,64,16,8,8,8,8,8,8,8,0,1,1,1,166.4325
64,64,16,8,8,8,8,8,8,8,1,0,1,1,166.33
64,64,16,8,8,8,8,8,8,8,1,1,1,1,166.6625
64,64,16,8,8,8,16,2,1,1,0,0,1,1,186.445
64,64,16,8,8,8,16,2,1,1,0,1,1,1,141.445
64,64,16,8,8,8,16,2,1,1,1,0,1,1,188.7325
64,64,16,8,8,8,16,2,1,1,1,1,1,1,175.1625
64,64,16,8,8,8,16,2,1,2,0,0,1,1,147.765
64,64,16,8,8,8,16,2,1,2,0,1,1,1,169.24
64,64,16,8,8,8,16,2,1,2,1,0,1,1,154.445
64,64,16,8,8,8,16,2,1,2,1,1,1,1,201.5175
64,64,16,8,8,8,16,2,1,4,0,0,1,1,173.6175
64,64,16,8,8,8,16,2,1,4,0,1,1,1,197.4175
64,64,16,8,8,8,16,2,1,4,1,0,1,1,153.3425
64,64,16,8,8,8,16,2,1,4,1,1,1,1,204.7
64,64,16,8,8,8,16,2,2,1,0,0,1,1,220.8725
64,64,16,8,8,8,16,2,2,1,0,1,1,1,172.235
64,64,16,8,8,8,16,2,2,1,1,0,1,1,219.5875
64,64,16,8,8,8,16,2,2,1,1,1,1,1,177.5675
64,64,16,8,8,8,16,2,2,2,0,0,1,1,170.8975
64,64,16,8,8,8,16,2,2,2,0,1,1,1,164.9525
64,64,16,8,8,8,16,2,2,2,1,0,1,1,157.8575
64,64,16,8,8,8,16,2,2,2,1,1,1,1,157.8425
64,64,16,8,8,8,16,2,2,4,0,0,1,1,152.41
64,64,16,8,8,8,16,2,2,4,0,1,1,1,167.2325
64,64,16,8,8,8,16,2,2,4,1,0,1,1,154.595
64,64,16,8,8,8,16,2,2,4,1,1,1,1,176.7875
64,64,16,8,8,8,16,2,4,1,0,0,1,1,136.3325
64,64,16,8,8,8,16,2,4,1,0,1,1,1,168.2125
64,64,16,8,8,8,16,2,4,1,1,0,1,1,132.665
64,64,16,8,8,8,16,2,4,1,1,1,1,1,167.2125
64,64,16,8,8,8,16,2,4,2,0,0,1,1,183.025
64,64,16,8,8,8,16,2,4,2,0,1,1,1,177.4925
64,64,16,8,8,8,16,2,4,2,1,0,1,1,182.98
64,64,16,8,8,8,16,2,4,2,1,1,1,1,178.6425
64,64,16,8,8,8,16,2,4,4,0,0,1,1,187.3175
64,64,16,8,8,8,16,2,4,4,0,1,1,1,192.0525
64,64,16,8,8,8,16,2,4,4,1,0,1,1,152.8975
64,64,16,8,8,8,16,2,4,4,1,1,1,1,194.6275
64,64,16,8,8,8,16,2,8,1,0,0,1,1,149.385
64,64,16,8,8,8,16,2,8,1,0,1,1,1,167.595
64,64,16,8,8,8,16,2,8,1,1,0,1,1,149.3825
64,64,16,8,8,8,16,2,8,1,1,1,1,1,167.6925
64,64,16,8,8,8,16,2,8,2,0,0,1,1,166.0175
64,64,16,8,8,8,16,2,8,2,0,1,1,1,155.4925
64,64,16,8,8,8,16,2,8,2,1,0,1,1,165.7475
64,64,16,8,8,8,16,2,8,2,1,1,1,1,155.58
64,64,16,8,8,8,16,2,8,4,0,0,1,1,164.4825
64,64,16,8,8,8,16,2,8,4,0,1,1,1,165.25
64,64,16,8,8,8,16,2,8,4,1,0,1,1,164.6325
64,64,16,8,8,8,16,2,8,4,1,1,1,1,165.2075
64,64,16,8,8,8,16,8,1,1,0,0,1,1,190.71
64,64,16,8,8,8,16,8,1,1,0,1,1,1,162.8675
64,64,16,8,8,8,16,8,1,1,1,0,1,1,207.0975
64,64,16,8,8,8,16,8,1,1,1,1,1,1,159.475
64,64,16,8,8,8,16,8,1,2,0,0,1,1,157.7975
64,64,16,8,8,8,16,8,1,2,0,1,1,1,174.115
64,64,16,8,8,8,16,8,1,2,1,0,1,1,176.7825
64,64,16,8,8,8,16,8,1,2,1,1,1,1,183.1825
64,64,16,8,8,8,16,8,1,4,0,0,1,1,150.22
64,64,16,8,8,8,16,8,1,4,0,1,1,1,158.02
64,64,16,8,8,8,16,8,1,4,1,0,1,1,173.72
64,64,16,8,8,8,16,8,1,4,1,1,1,1,196.565
64,64,16,8,8,8,16,8,2,1,0,0,1,1,181.6175
64,64,16,8,8,8,16,8,2,1,0,1,1,1,149.7175
64,64,16,8,8,8,16,8,2,1,1,0,1,1,183.115
64,64,16,8,8,8,16,8,2,1,1,1,1,1,146.755
64,64,16,8,8,8,16,8,2,2,0,0,1,1,175.4025
64,64,16,8,8,8,16,8,2,2,0,1,1,1,167.3325
64,64,16,8,8,8,16,8,2,2,1,0,1,1,184.4175
64,64,16,8,8,8,16,8,2,2,1,1,1,1,161.0825
64,64,16,8,8,8,16,8,2,4,0,0,1,1,134.7875
64,64,16,8,8,8,16,8,2,4,0,1,1,1,150.835
64,64,16,8,8,8,16,8,2,4,1,0,1,1,142.1425
64,64,16,8,8,8,16,8,2,4,1,1,1,1,154.9925
64,64,16,8,8,8,16,8,4,1,0,0,1,1,162.7175
64,64,16,8,8,8,16,8,4,1,0,1,1,1,157.0725
64,64,16,8,8,8,16,8,4,1,1,0,1,1,162.965
64,64,16,8,8,8,16,8,4,1,1,1,1,1,154.8875
64,64,16,8,8,8,16,8,4,2,0,0,1,1,157.2575
64,64,16,8,8,8,16,8,4,2,0,1,1,1,162.475
64,64,16,8,8,8,16,8,4,2,1,0,1,1,161.565
64,64,16,8,8,8,16,8,4,2,1,1,1,1,157.2125
64,64,16,8,8,8,16,8,4,4,0,0,1,1,155.64
64,64,16,8,8,8,16,8,4,4,0,1,1,1,154.48
64,64,16,8,8,8,16,8,4,4,1,0,1,1,152.8225
64,64,16,8,8,8,16,8,4,4,1,1,1,1,151.105
64,64,16,8,8,8,16,8,8,1,0,0,1,1,146.94
64,64,16,8,8,8,16,8,8,1,0,1,1,1,149.525
64,64,16,8,8,8,16,8,8,1,1,0,1,1,146.7
64,64,16,8,8,8,16,8,8,1,1,1,1,1,149.97
64,64,16,8,8,8,16,8,8,2,0,0,1,1,166.3
64,64,16,8,8,8,16,8,8,2,0,1,1,1,154.2725
64,64,16,8,8,8,16,8,8,2,1,0,1,1,166.195
64,64,16,8,8,8,16,8,8,2,1,1,1,1,157.02
64,64,16,8,8,8,16,8,8,4,0,0,1,1,164.56
64,64,16,8,8,8,16,8,8,4,0,1,1,1,164.92
64,64,16,8,8,8,16,8,8,4,1,0,1,1,164.6825
64,64,16,8,8,8,16,8,8,4,1,1,1,1,164.8875
64,64,16,8,8,8,32,2,1,1,0,0,1,1,186.0525
64,64,16,8,8,8,32,2,1,1,0,1,1,1,154.12
64,64,16,8,8,8,32,2,1,1,1,0,1,1,196.3275
64,64,16,8,8,8,32,2,1,1,1,1,1,1,173.9525
64,64,16,8,8,8,32,2,1,2,0,0,1,1,145.125
64,64,16,8,8,8,32,2,1,2,0,1,1,1,167.385
64,64,16,8,8,8,32,2,1,2,1,0,1,1,150.0225
64,64,16,8,8,8,32,2,1,2,1,1,1,1,200.4425
64,64,16,8,8,8,32,2,2,1,0,0,1,1,218.6475
64,64,16,8,8,8,32,2,2,1,0,1,1,1,173.5625
64,64,16,8,8,8,32,2,2,1,1,0,1,1,221.8225
64,64,16,8,8,8,32,2,2,1,1,1,1,1,175.2525
64,64,16,8,8,8,32,2,2,2,0,0,1,1,169.465
64,64,16,8,8,8,32,2,2,2,0,1,1,1,166.085
64,64,16,8,8,8,32,2,2,2,1,0,1,1,156.28
64,64,16,8,8,8,32,2,2,2,1,1,1,1,164.13
64,64,16,8,8,8,32,2,4,1,0,0,1,1,138.62
64,64,16,8,8,8,32,2,4,1,0,1,1,1,167.0125
64,64,16,8,8,8,32,2,4,1,1,0,1,1,134.0175
64,64,16,8,8,8,32,2,4,1,1,1,1,1,165.065
64,64,16,8,8,8,32,2,4,2,0,0,1,1,179.125
64,64,16,8,8,8,32,2,4,2,0,1,1,1,181.0275
64,64,16,8,8,8,32,2,4,2,1,0,1,1,182.4875
64,64,16,8,8,8,32,2,4,2,1,1,1,1,176.42
64,64,16,8,8,8,32,2,8,1,0,0,1,1,146.1275
64,64,16,8,8,8,32,2,8,1,0,1,1,1,166.285
64,64,16,8,8,8,32,2,8,1,1,0,1,1,145.9
64,64,16,8,8,8,32,2,8,1,1,1,1,1,166.27
64,64,16,8,8,8,32,2,8,2,0,0,1,1,155.89
64,64,16,8,8,8,32,2,8,2,0,1,1,1,155.8975
64,64,16,8,8,8,32,2,8,2,1,0,1,1,155.3175
64,64,16,8,8,8,32,2,8,2,1,1,1,1,154.1975
64,64,16,8,8,8,32,8,1,1,0,0,1,1,189.6275
64,64,16,8,8,8,32,8,1,1,0,1,1,1,161.3025
64,64,16,8,8,8,32,8,1,1,1,0,1,1,204.6875
64,64,16,8,8,8,32,8,1,1,1,1,1,1,157.22
64,64,16,8,8,8,32,8,1,2,0,0,1,1,155.36
64,64,16,8,8,8,32,8,1,2,0,1,1,1,173.6975
64,64,16,8,8,8,32,8,1,2,1,0,1,1,176.715
64,64,16,8,8,8,32,8,1,2,1,1,1,1,182.5625
64,64,16,8,8,8,32,8,2,1,0,0,1,1,180.365
64,64,16,8,8,8,32,8,2,1,0,1,1,1,147.4025
64,64,16,8,8,8,32,8,2,1,1,0,1,1,181.295
64,64,16,8,8,8,32,8,2,1,1,1,1,1,146.4375
64,64,16,8,8,8,32,8,2,2,0,0,1,1,175.85
64,64,16,8,8,8,32,8,2,2,0,1,1,1,165.3575
64,64,16,8,8,8,32,8,2,2,1,0,1,1,185.455
64,64,16,8,8,8,32,8,2,2,1,1,1,1,160.8475
64,64,16,8,8,8,32,8,4,1,0,0,1,1,159.4225
64,64,16,8,8,8,32,8,4,1,0,1,1,1,154.07
64,64,16,8,8,8,32,8,4,1,1,0,1,1,161.5875
64,64,16,8,8,8,32,8,4,1,1,1,1,1,153.8525
64,64,16,8,8,8,32,8,4,2,0,0,1,1,157.36
64,64,16,8,8,8,32,8,4,2,0,1,1,1,160.73
64,64,16,8,8,8,32,8,4,2,1,0,1,1,161.0075
64,64,16,8,8,8,32,8,4,2,1,1,1,1,158.575
64,64,16,8,8,8,32,8,8,1,0,0,1,1,142.0575
64,64,16,8,8,8,32,8,8,1,0,1,1,1,145.3525
64,64,16,8,8,8,32,8,8,1,1,0,1,1,142.45
64,64,16,8,8,8,32,8,8,1,1,1,1,1,145.9275
64,64,16,8,8,8,32,8,8,2,0,0,1,1,155.44
64,64,16,8,8,8,32,8,8,2,0,1,1,1,153.7375
64,64,16,8,8,8,32,8,8,2,1,0,1,1,155.7125
64,64,16,8,8,8,32,8,8,2,1,1,1,1,153.785
64,64,16,8,8,16,8,2,1,1,0,0,1,1,189.5375
64,64,16,8,8,16,8,2,1,1,0,1,1,1,146.7
64,64,16,8,8,16,8,2,1,1,1,0,1,1,190.8825
64,64,16,8,8,16,8,2,1,1,1,1,1,1,169.52
64,64,16,8,8,16,8,2,1,2,0,0,1,1,145.125
64,64,16,8,8,16,8,2,1,2,0,1,1,1,164.93
64,64,16,8,8,16,8,2,1,2,1,0,1,1,151.1625
64,64,16,8,8,16,8,2,1,2,1,1,1,1,199.935
64,64,16,8,8,16,8,2,1,4,0,0,1,1,169.76
64,64,16,8,8,16,8,2,1,4,0,1,1,1,200.04
64,64,16,8,8,16,8,2,1,4,1,0,1,1,149.4375
64,64,16,8,8,16,8,2,1,4,1,1,1,1,197.1025
64,64,16,8,8,16,8,2,1,8,0,0,1,1,201.7
64,64,16,8,8,16,8,2,1,8,0,1,1,1,201.515
64,64,16,8,8,16,8,2,1,8,1,0,1,1,191.135
64,64,16,8,8,16,8,2,1,8,1,1,1,1,190.5625
64,64,16,8,8,16,8,2,2,1,0,0,1,1,230.9275
64,64,16,8,8,16,8,2,2,1,0,1,1,1,178.1125
64,64,16,8,8,16,8,2,2,1,1,0,1,1,229.1375
64,64,16,8,8,16,8,2,2,1,1,1,1,1,175.55
64,64,16,8,8,16,8,2,2,2,0,0,1,1,167.9275
64,64,16,8,8,16,8,2,2,2,0,1,1,1,163.195
64,64,16,8,8,16,8,2,2,2,1,0,1,1,163.4875
64,64,16,8,8,16,8,2,2,2,1,1,1,1,165.9425
64,64,16,8,8,16,8,2,2,4,0,0,1,1,151.305
64,64,16,8,8,16,8,2,2,4,0,1,1,1,165.8475
64,64,16,8,8,16,8,2,2,4,1,0,1,1,154.7975
64,64,16,8,8,16,8,2,2,4,1,1,1,1,173.0425
64,64,16,8,8,16,8,2,2,8,0,0,1,1,143.11
64,64,16,8,8,16,8,2,2,8,0,1,1,1,142.855
64,64,16,8,8,16,8,2,2,8,1,0,1,1,122.305
64,64,16,8,8,16,8,2,2,8,1,1,1,1,122.43
64,64,16,8,8,16,8,2,4,1,0,0,1,1,144.4525
64,64,16,8,8,16,8,2,4,1,0,1,1,1,172.68
64,64,16,8,8,16,8,2,4,1,1,0,1,1,140.61
64,64,16,8,8,16,8,2,4,1,1,1,1,1,176.7875
64,64,16,8,8,16,8,2,4,2,0,0,1,1,183.3475
64,64,16,8,8,16,8,2,4,2,0,1,1,1,178.7825
64,64,16,8,8,16,8,2,4,2,1,0,1,1,183.6
64,64,16,8,8,16,8,2,4,2,1,1,1,1,179.57
64,64,16,8,8,16,8,2,4,4,0,0,1,1,194.5525
64,64,16,8,8,16,8,2,4,4,0,1,1,1,191.1125
64,64,16,8,8,16,8,2,4,4,1,0,1,1,157.435
64,64,16,8,8,16,8,2,4,4,1,1,1,1,194.175
64,64,16,8,8,16,8,2,4,8,0,0,1,1,145.6225
64,64,16,8,8,16,8,2,4,8,0,1,1,1,145.3725
64,64,16,8,8,16,8,2,4,8,1,0,1,1,143.9675
64,64,16,8,8,16,8,2,4,8,1,1,1,1,143.64
64,64,16,8,8,16,8,8,1,1,0,0,1,1,193.3875
64,64,16,8,8,16,8,8,1,1,0,1,1,1,162.58
64,64,16,8,8,16,8,8,1,1,1,0,1,1,208.5825
64,64,16,8,8,16,8,8,1,1,1,1,1,1,160.18
64,64,16,8,8,16,8,8,1,2,0,0,1,1,155.405
64,64,16,8,8,16,8,8,1,2,0,1,1,1,172.145
64,64,16,8,8,16,8,8,1,2,1,0,1,1,176.53
64,64,16,8,8,16,8,8,1,2,1,1,1,1,181.4425
64,64,16,8,8,16,8,8,1,4,0,0,1,1,146.34
64,64,16,8,8,16,8,8,1,4,0,1,1,1,154.7025
64,64,16,8,8,16,8,8,1,4,1,0,1,1,172.02
64,64,16,8,8,16,8,8,1,4,1,1,1,1,190.2625
64,64,16,8,8,16,8,8,1,8,0,0,1,1,170.71
64,64,16,8,8,16,8,8,1,8,0,1,1,1,169.99
64,64,16,8,8,16,8,8,1,8,1,0,1,1,157.71
64,64,16,8,8,16,8,8,1,8,1,1,1,1,157.5825
64,64,16,8,8,16,8,8,2,1,0,0,1,1,184.735
64,64,16,8,8,16,8,8,2,1,0,1,1,1,151.46
64,64,16,8,8,16,8,8,2,1,1,0,1,1,184.16
64,64,16,8,8,16,8,8,2,1,1,1,1,1,152.48
64,64,16,8,8,16,8,8,2,2,0,0,1,1,177.7775
64,64,16,8,8,16,8,8,2,2,0,1,1,1,166.35
64,64,16,8,8,16,8,8,2,2,1,0,1,1,186.1275
64,64,16,8,8,16,8,8,2,2,1,1,1,1,164.2375
64,64,16,8,8,16,8,8,2,4,0,0,1,1,135.7175
64,64,16,8,8,16,8,8,2,4,0,1,1,1,148.6575
64,64,16,8,8,16,8,8,2,4,1,0,1,1,142.3525
64,64,16,8,8,16,8,8,2,4,1,1,1,1,155.085
64,64,16,8,8,16,8,8,2,8,0,0,1,1,132.31
64,64,16,8,8,16,8,8,2,8,0,1,1,1,132.5325
64,64,16,8,8,16,8,8,2,8,1,0,1,1,117.5
64,64,16,8,8,16,8,8,2,8,1,1,1,1,117.3125
64,64,16,8,8,16,8,8,4,1,0,0,1,1,165.255
64,64,16,8,8,16,8,8,4,1,0,1,1,1,171.83
64,64,16,8,8,16,8,8,4,1,1,0,1,1,163.0875
64,64,16,8,8,16,8,8,4,1,1,1,1,1,163.665
64,64,16,8,8,16,8,8,4,2,0,0,1,1,161.44
64,64,16,8,8,16,8,8,4,2,0,1,1,1,162.3175
64,64,16,8,8,16,8,8,4,2,1,0,1,1,164.7225
64,64,16,8,8,16,8,8,4,2,1,1,1,1,162.4075
64,64,16,8,8,16,8,8,4,4,0,0,1,1,155.45
64,64,16,8,8,16,8,8,4,4,0,1,1,1,153.0175
64,64,16,8,8,16,8,8,4,4,1,0,1,1,155.0225
64,64,16,8,8,16,8,8,4,4,1,1,1,1,154.03
64,64,16,8,8,16,8,8,4,8,0,0,1,1,120.485
64,64,16,8,8,16,8,8,4,8,0,1,1,1,120.7
64,64,16,8,8,16,8,8,4,8,1,0,1,1,118.3675
64,64,16,8,8,16,8,8,4,8,1,1,1,1,118.555
64,64,16,8,8,16,16,2,1,1,0,0,1,1,181.32
64,64,16,8,8,16,16,2,1,1,0,1,1,1,139.2125
64,64,16,8,8,16,16,2,1,1,1,0,1,1,185.965
64,64,16,8,8,16,16,2,1,1,1,1,1,1,166.29
64,64,16,8,8,16,16,2,1,2,0,0,1,1,145.1425
64,64,16,8,8,16,16,2,1,2,0,1,1,1,162.29
64,64,16,8,8,16,16,2,1,2,1,0,1,1,153.3125
64,64,16,8,8,16,16,2,1,2,1,1,1,1,198.36
64,64,16,8,8,16,16,2,1,4,0,0,1,1,161.285
64,64,16,8,8,16,16,2,1,4,0,1,1,1,196.665
64,64,16,8,8,16,16,2,1,4,1,0,1,1,152.32
64,64,16,8,8,16,16,2,1,4,1,1,1,1,196.03
64,64,16,8,8,16,16,2,2,1,0,0,1,1,225.7275
64,64,16,8,8,16,16,2,2,1,0,1,1,1,176.3875
64,64,16,8,8,16,16,2,2,1,1,0,1,1,224.3275
64,64,16,8,8,16,16,2,2,1,1,1,1,1,173.8875
64,64,16,8,8,16,16,2,2,2,0,0,1,1,165.7525
64,64,16,8,8,16,16,2,2,2,0,1,1,1,163.4075
64,64,16,8,8,16,16,2,2,2,1,0,1,1,156.85
64,64,16,8,8,16,16,2,2,2,1,1,1,1,154.29
64,64,16,8,8,16,16,2,2,4,0,0,1,1,153.635
64,64,16,8,8,16,16,2,2,4,0,1,1,1,165.995
64,64,16,8,8,16,16,2,2,4,1,0,1,1,150.9925
64,64,16,8,8,16,16,2,2,4,1,1,1,1,173.3925
64,64,16,8,8,16,16,2,4,1,0,0,1,1,136.92
64,64,16,8,8,16,16,2,4,1,0,1,1,1,162.7925
64,64,16,8,8,16,16,2,4,1,1,0,1,1,134.58
64,64,16,8,8,16,16,2,4,1,1,1,1,1,162.145
64,64,16,8,8,16,16,2,4,2,0,0,1,1,177.825
64,64,16,8,8,16,16,2,4,2,0,1,1,1,177.9575
64,64,16,8,8,16,16,2,4,2,1,0,1,1,178.66
64,64,16,8,8,16,16,2,4,2,1,1,1,1,175.245
64,64,16,8,8,16,16,2,4,4,0,0,1,1,188.8875
64,64,16,8,8,16,16,2,4,4,0,1,1,1,191.155
64,64,16,8,8,16,16,2,4,4,1,0,1,1,152.34
64,64,16,8,8,16,16,2,4,4,1,1,1,1,192.5925
64,64,16,8,8,16,16,8,1,1,0,0,1,1,185.8
64,64,16,8,8,16,16,8,1,1,0,1,1,1,157.715
64,64,16,8,8,16,16,8,1,1,1,0,1,1,202.665
64,64,16,8,8,16,16,8,1,1,1,1,1,1,159.185
64,64,16,8,8,16,16,8,1,2,0,0,1,1,153.7825
64,64,16,8,8,16,16,8,1,2,0,1,1,1,169.4475
